Tue May 31 2022 12:20:35 GMT+0530 (India Standard Time),26.6371397,92.797999,98.57469488
Tue May 31 2022 12:21:27 GMT+0530 (India Standard Time),26.6371439,92.7979922,18.85335676
Tue May 31 2022 12:21:29 GMT+0530 (India Standard Time),26.6371523,92.7979921,13.76084969
Tue May 31 2022 12:21:30 GMT+0530 (India Standard Time),26.6371487,92.7980023,50.34540781
Tue May 31 2022 12:21:31 GMT+0530 (India Standard Time),26.6371479,92.7980014,10.82877287
Tue May 31 2022 12:21:32 GMT+0530 (India Standard Time),26.6371499,92.7979988,79.83868824
Tue May 31 2022 12:21:33 GMT+0530 (India Standard Time),26.6371503,92.7979986,61.52446754
Tue May 31 2022 12:21:32 GMT+0530 (India Standard Time),26.6371487,92.7979983,30.05050871
Tue May 31 2022 12:21:34 GMT+0530 (India Standard Time),26.6371476,92.7979967,99.22173115
Tue May 31 2022 12:21:35 GMT+0530 (India Standard Time),26.6371479,92.7979968,12.2560795
Tue May 31 2022 12:21:34 GMT+0530 (India Standard Time),26.6371484,92.7979975,85.09690873
Tue May 31 2022 12:21:35 GMT+0530 (India Standard Time),26.6371495,92.7979989,85.65538599
Tue May 31 2022 12:21:36 GMT+0530 (India Standard Time),26.6371502,92.7979997,92.33725452
Tue May 31 2022 12:21:37 GMT+0530 (India Standard Time),26.6371508,92.7979998,27.12229226
Tue May 31 2022 12:21:37 GMT+0530 (India Standard Time),26.6371508,92.7980001,99.10217989
Tue May 31 2022 12:21:39 GMT+0530 (India Standard Time),26.6371509,92.7979999,88.92357964
Tue May 31 2022 12:21:40 GMT+0530 (India Standard Time),26.6371507,92.7979991,48.7546099
Tue May 31 2022 12:21:41 GMT+0530 (India Standard Time),26.63715,92.7979974,82.17427297
Tue May 31 2022 12:21:42 GMT+0530 (India Standard Time),26.6371487,92.7979953,63.19575634
Tue May 31 2022 12:21:43 GMT+0530 (India Standard Time),26.6371468,92.7979931,42.81769526
Tue May 31 2022 12:21:42 GMT+0530 (India Standard Time),26.6371452,92.7979939,25.4112028
Tue May 31 2022 12:21:44 GMT+0530 (India Standard Time),26.6371441,92.7979944,22.41205281
Tue May 31 2022 12:21:45 GMT+0530 (India Standard Time),26.6371399,92.7979968,92.8255518
Tue May 31 2022 12:21:45 GMT+0530 (India Standard Time),26.6371351,92.7980023,89.02623368
Tue May 31 2022 12:21:45 GMT+0530 (India Standard Time),26.6371318,92.7980058,92.00511215
Tue May 31 2022 12:21:47 GMT+0530 (India Standard Time),26.6371266,92.7980122,94.34908102
Tue May 31 2022 12:21:48 GMT+0530 (India Standard Time),26.6371229,92.7980179,21.00183879
Tue May 31 2022 12:21:47 GMT+0530 (India Standard Time),26.6371201,92.7980233,14.88261469
Tue May 31 2022 12:21:48 GMT+0530 (India Standard Time),26.6371184,92.7980271,81.61636924
Tue May 31 2022 12:21:50 GMT+0530 (India Standard Time),26.6371154,92.7980343,28.32563224
Tue May 31 2022 12:21:51 GMT+0530 (India Standard Time),26.6371137,92.7980383,62.61480226
Tue May 31 2022 12:21:52 GMT+0530 (India Standard Time),26.6371118,92.7980425,88.66337184
Tue May 31 2022 12:21:51 GMT+0530 (India Standard Time),26.6371098,92.7980441,75.72590373
Tue May 31 2022 12:21:53 GMT+0530 (India Standard Time),26.6371083,92.798048,54.40234118
